,PC1,PC2,PC3
SYNC,-0.39546365887114565,1.3644868467010454,-0.5130844384165636
SYS,-0.12934311802587364,-1.2799922455160657,0.17177260415485374
TES,-0.2488142006061379,-0.19157084920000997,0.11029052019907741
TGC,-0.14164379619476863,-1.2793948899195218,0.17203588747492046
TIT,-0.3237583267863098,1.2770411936526516,-0.25983204852539715
TOR,-0.39537538479545675,1.3644792465783413,-0.5130858973028821
TRC,-0.14193076400327562,-1.2793931645091663,0.17204361636762733
UNB,-0.1419138138598371,-1.2794247828862793,0.17204725510817684
UNO,-0.14250393880801235,-1.2793631875726164,0.172055606256778
URO,-0.22563194828019234,-0.8426467309378681,0.04479579109812093
USDE,-0.3101827467506139,1.1667585138029,-0.5508759549518422
UTC,-0.3336066949227322,1.1678112223917985,-0.5503635674189701
VIA,-0.16466560322204504,-1.0392656396733502,0.007533975278531178
VRC,-0.29655035266617336,0.3443512221760289,-0.198769557395812
VTC,-0.18718822437262145,-1.3408116581823482,0.22265466606916462
WDC,-0.1617714357465687,-1.039443426587213,0.007476867325171669
XC,-0.39533988430947636,1.364483312921052,-0.5130874095533727
XCR,-0.2492814208328127,-0.1914912717358944,0.1102931285317853
XJO,-0.14171103428500276,-1.2793937854719568,0.1720376074148645
XST,-0.2738814716897597,1.956224135734075,-0.6199114263836032
ZCC,-0.3260398660025979,1.1671238918028972,-0.5504839643572078
BCN,3.858302888446451,-2.4751662796094114,0.31478162664455656
XDN,0.4602347647219617,-2.3585078343911334,0.3937978508764459
BURST,-0.09569225362759555,-1.3824979469088574,-0.5614333254930134
SJCX,-0.35254105618240394,0.8352040074259552,-0.008593621267292443
MONA,-0.16353421651228486,-1.0393245684939572,0.007510276989926515
NTRN,-0.311366052916064,0.927722084642578,-0.38584521806146777
FAIR,-0.36817254119259607,1.0490399778045425,-0.3973391660764825
NLG,-0.14814759428923915,-1.0405088814372596,0.007237738496348459
RBY,-0.2954474673621615,0.6016873194335062,-0.24482795519758338
PTC,-0.16225414449762213,-1.039364788919293,0.007480027027850917
KORE,-0.27417576714304653,1.956211578046724,-0.619901638461111
WBB,-0.16509024690233737,-1.0392522570829912,0.007544005015332969
NOTE,-0.2901065830789252,0.6013152327638003,-0.24492762466844784
FLO,-0.1621192834974854,-1.039358292921368,0.007475445366734781
8BIT,-0.33491015572186517,1.1678836194538746,-0.550336850295852
STV,-0.2741279895212776,1.9562136600758133,-0.6199032331207474
ABY,-0.1483551044083389,-1.039942256239455,0.007169862043198411
FLDC,-0.12754145117475188,-2.1788671361226983,0.444260652244535
U,-0.3561404379446804,0.7982726321231066,-0.20756935026257056
UIS,-0.11903905004963784,-1.832429637686377,0.362668114414235
CYP,-0.18359089193189634,-1.375522457594822,0.2768312180525296
OMC,-0.16496342732557256,-1.0392517894932245,0.007540429549153721
VTR,-0.3346447834431683,1.1678691802274257,-0.5503423286481615
GRE,-0.038016808610371364,-1.0465178671896416,0.004966357419303676
XCN,-0.11856748160061448,-1.9220348360789685,0.30671741502430966
MSC,-0.165099129602613,-1.0392506544457958,0.007544042945440817
SOON,-0.14220731817883117,-1.2793779854037426,0.17204930847756172
1CR,0.48641012557773117,-1.1105580570258626,-0.0012463331489900678
ISL,-0.39544520304876973,1.3644870060083505,-0.5130849706059808
NXS,-0.5070306153798492,-0.27032308639287267,-0.4594196827921208
MARS,-0.2250196702310838,-0.842669058052844,0.044781723472542105
CTO,-0.14701992508429118,-2.151594825552183,0.39673148798955554
ACP,-0.1419474332663986,-1.2794031377375787,0.17204537426758493
DRZ,-0.4157468622583722,1.9908979614878763,-0.8158744747855433
BSC,-0.2253043244689929,-0.8426614715325003,0.044788626652135614
SQL,-0.37549517876755073,0.3341306405721241,-0.2221816631050941
SONG,-0.16322469964500105,-1.0394097798524555,0.00751277135484931
ZNY,-0.16241764265793962,-1.0394360851270565,0.007493822503371903
DIGS,-0.2938504590804757,0.6016174429247386,-0.24486313528574463
EXP,-0.14810108726995452,-1.9971763218733851,0.38915423550530587
CON,-0.2736500752943923,1.9561843279938682,-0.6199126667285348
SC,0.3583923239626394,-2.3633480523570585,0.4668221141793298
EMC,-0.3047177996976518,0.9270001181146608,-0.38593565677407443
EGC,-0.243250337929195,1.9642562533312315,-0.6729429884521959
MND,-0.22533968608436036,-0.842657595702802,0.044789103045822315
I0C,-0.14210313607567115,-1.2793770908413276,0.17204630491067885
DCR,-0.08746166611187023,0.8248426559769886,-0.41787998530809906
RVR,-0.16106051405669028,-1.0393909964007937,0.007450351881928783
HODL,-0.15085600571791852,-2.0838376849951823,0.39496961798001395
EDRC,-0.31212456354641377,0.9277540227317855,-0.3858283465645933
HTC,-0.0732151440775745,1.3450608936774975,-0.5194910953952807
GAME,-0.1636637465520459,-1.0393080266547436,0.007511717364538258
DBIC,-0.31218819011168697,0.9277630891658363,-0.38582776129805496
DIEM,0.27601600574133844,-1.2938465939882435,0.16233862444780298
PWR,-0.22945263229207855,1.7764204762109652,-0.6050261200610154
BLRY,-0.33452079545078983,1.1678518552157593,-0.5503435136635262
GPU,-0.2937197723134492,0.6015173780671225,-0.24485375471372434
ADZ,-0.22450117287493807,-0.8427072364856036,0.04477231463171784
SOIL,-0.1514210866078903,-2.2267141022578802,0.40125666285290434
YOC,-0.16391108903878696,-1.039380659097695,0.007528010152121532
SIB,-0.1502616273480053,-2.0371873301789294,0.489285738484303
ERC,-0.3926172539507055,1.3641903054986546,-0.5131247917017275
ZEIT,0.8566083511560503,0.5288261070724761,-0.26728869342708583
SWING,-0.311988457350246,0.9277401453439234,-0.3858303154118988
SAFEX,-0.10417600267593895,-0.3230891163710873,-0.41528006850168797
NEBU,-0.37030678498628006,1.0068682307867456,-0.16487909966065398
FRN,-0.16488923591208499,-1.039265052223531,0.007540096753851863
BOLI,-0.22530297123680618,-0.842664803483459,0.044789022102984445
