,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC1,PC2,PC3,CoinName,Class
OMC,Scrypt,PoW,10140044.4430293,3371337,-0.1626287940313398,-1.1873416457856638,-0.011176502569585228,OmniCron,0
VTR,Scrypt,PoW/PoS,11604722.0,20000000,-0.32308244166770705,0.9592434230650023,-0.5422010303136722,Vtorrent,3
GRE,Scrypt,PoW,4610340640.89,10000000000,-0.035103235466827094,-1.1946613952161145,-0.015134457431665882,GreenCoin,0
XCN,M7 POW,PoW,708506520.0,1840000000,-0.16727715038416957,-1.9095235961558155,0.18949224435410736,Cryptonite,0
MSC,Scrypt,PoW,619478.0,619478,-0.1627650858013916,-1.1873396479772018,-0.011170633750846811,MasterCoin,0
SOON,SHA-256,PoW,12462620.0,21000000,-0.15855996957029705,-1.1792783972049128,0.257190569829058,SoonCoin,0
1CR,Scrypt,PoW,88213.0,92000000000,0.49186605244133497,-1.2547916282558629,-0.023082691344174892,1Credit,0
ISL,X11,PoW/PoS,1513704.0,0,-0.40759855695647484,1.3474205064980398,-0.4964943470930316,IslaCoin,3
NXS,SHA3,PoW/nPoS,63657220.0,78000000,-0.3361029077158682,1.879022348612328,-0.5722241370767629,Nexus,3
MARS,X11,PoW,32221574.820996,33000000,-0.24639737202569356,-0.7992008821323647,0.03450512636299967,MarsCoin ,0
CTO,Lyra2RE,PoW,13742738.0,65789100,-0.1606851374054068,-2.2054517988721787,0.3333361263632662,Crypto,0
ACP,SHA-256,PoW,14747200.0002,53760000,-0.15829885393051543,-1.1793024113863828,0.25718500516884296,Anarchists Prime,0
DRZ,QUAIT,PoW/PoS,8568038.35935056,5060000,-0.41627691807170875,2.104694529850679,-0.5323983092919132,Droidz,3
BSC,X11,PoW,15863837.5,21000000,-0.24668328586450433,-0.7991921180008688,0.03451615144739406,BowsCoin,0
SQL,X11,PoS/PoW,329200.01639,0,-0.38061608476659603,0.9230541672089104,-0.12933653839043238,Squall Coin,3
SONG,Scrypt,PoW,32565300.0,210240000,-0.16088187789374336,-1.1874932708393147,-0.011216273004398257,Song Coin,0
ZNY,Scrypt,PoW,75614500.0,250000000,-0.16007122841982843,-1.1875223325109128,-0.011246347153206706,BitZeny,0
DIGS,Scrypt,PoS,100000000.0,100000000,-0.26996484427421436,0.6611548931875952,-0.2712859795163613,Diggits,3
EXP,Ethash,PoW,10495278.0,16906397,-0.17125188078049758,-1.9453469073798937,0.331161988122497,Expanse,0
CON,X13,PoW/PoS,23042604.0,50000000,-0.2834026154103671,1.8748877590885582,-0.6322977814193793,Paycon,3
SC,Blake2b,PoW,33098296530.0,0,0.34917533849995064,-2.071963457846564,0.2929841660996756,Siacoin,0
EMC,SHA-256,PoW/PoS,43059794.804778,1000000000,-0.311808567381626,0.9666011421276272,-0.2739754367372973,Emercoin,3
EGC,X15,PoW/PoS,13530556.4180753,26298000,-0.22906145778436465,1.8972623513297746,-0.5857875004163555,EverGreenCoin,3
MND,X11,PoW,15867695.0,16000000,-0.24671881694906445,-0.7991884520997306,0.03451679662937592,MindCoin,0
I0C,SHA-256,PoW,20997476.8650231,21000000,-0.15845534272058856,-1.1792783794587276,0.2571856280648819,I0coin,0
DCR,BLAKE256,PoW/PoS,10365046.9281661,21000000,-0.06944514300348009,0.8856676410422214,-0.39933917516871764,Decred,3
RVR,Scrypt,PoW,210000000.0,210000000,-0.15870845442806425,-1.1874927259436001,-0.011318978325551203,Revolution VR,0
HODL,1GB AES Pattern Search,PoW,11448949.0,81962100,-0.1741189361066305,-2.0048553571804613,0.29775623298011084,HOdlcoin,0
EDRC,SHA-256,PoW/PoS,3669691.84494672,22000000,-0.3192505713183549,0.9673181089191518,-0.2738259950149382,EDRCoin,3
HTC,X11,PoW/PoS,10996318099.0,26550000000,-0.08389461617954332,1.3279774750992739,-0.5062982209044992,Hitcoin,3
GAME,Scrypt,PoW,69836100.0,84000000,-0.16132326647387812,-1.1874006368742063,-0.011221507209071207,Gamecredits,0
DBIC,SHA-256,PoW/PoS,5129014.0,10500000,-0.3193145120806497,0.9673265435076318,-0.27382535092081883,DubaiCoin,3
DIEM,SHA-256,PoW,21739971929.0,21626280000 ,0.2615287169878203,-1.195073749518232,0.2418126143774398,CarpeDiemCoin,0
PWR,NIST5,PoW/PoS,10069449031.9252,0,-0.23107512588033827,1.5866522272895405,-0.5897920150744566,PWR Coin,3
BLRY,Scrypt,PoW/PoS,8998743.2411911,42000000,-0.322957842922502,0.9592272877167787,-0.5422023700551688,BillaryCoin,3
GPU,Scrypt,PoS,40477042.0,221052632,-0.2698331514097836,0.6610660162217986,-0.27126718942178013,GPU Coin,3
ADZ,X11,PoW,45110324.0,84000000,-0.2458764724080527,-0.7992382474431047,0.03449106001509897,Adzcoin,0
SOIL,Dagger,PoW,5702048.0,30000000,-0.15972841448389707,-2.1558653698593573,0.42368845157004764,SoilCoin,0
YOC,Scrypt,PoW,636462.55983338,168351300,-0.16157135253399282,-1.1874626253282579,-0.011192362021739236,YoCoin,0
SIB,X11GOST,PoW,17263355.0,24000000,-0.17111137883209895,-2.115100852045678,0.29862142809800124,SibCoin,0
ERC,X11,PoW/PoS,10407269.7881868,384000000,-0.4047571137480177,1.3471389843986492,-0.4965492180644109,EuropeCoin,3
ZEIT,Scrypt,PoS,36971236046.8073, 99000000000,0.8857713818017645,0.5887201922035765,-0.30544065847388524,ZeitCoin,3
SWING,SHA-256,PoW/PoS,4377081.60953993,40000000,-0.31911381744777095,0.967304913174776,-0.27382873529625407,SwingCoin,3
SAFEX,Scrypt,PoC,2147483647.0,2147483647,-0.08973599810157987,0.3678066404812356,-0.3070957245898415,SafeExchangeCoin,3
NEBU,PoS,PoS,20000000.0,20000000,-0.3285679503172687,1.3887413834025664,-0.1445846768018941,Nebuchadnezzar,3
FRN,Scrypt,PoW,6570807.65677618,20000000,-0.16255422433102465,-1.1873538449872838,-0.011176589078045161,Francs,0
BOLI,X11,PoW,13654082.4987998,25000000,-0.2466819120452332,-0.7991950553100177,0.034516912984374266,BolivarCoin,0
XRA,X11,PoW/PoS,134554941.15119,75000000,-0.40543395940054683,1.347365794728578,-0.49658109048102933,Ratecoin,3
REV,SHA-256,PoW/PoS,1195525.0,222725000,-0.3178526077866415,0.9671709364955139,-0.2738505529442608,Revenu,3
CKC,SHA-256,PoW/PoS,16662820.0,525000000,-0.3155121072447397,0.9669493470876206,-0.27389864816151493,Clockcoin,3
VIP,NIST5,PoW/PoS,83450403.0,90000000,-0.35285077841107654,1.5865654777275624,-0.5840216793454862,VIP Tokens,3
BSD,X11,PoW/PoS,24387724.5010828,139000000,-0.40632907083079206,1.3473186422304047,-0.49652558952202647,BitSend,3
OMNI,Scrypt,PoW,616448.0,616448,-0.16276514450595939,-1.1873396457619705,-0.011170631604113851,Omni,0
LIR,POS 3.0,PoS,38589808.6658096,33500000,-0.32330618700539593,1.3468043143460053,-0.1419422110564923,Let it Ride,3
PUT,Scrypt,PoW/PoS,813092338.575672,2000000000,-0.29916815347575826,0.9577933958914815,-0.5429214758914818,PutinCoin,3
IBANK,Scrypt,PoW/PoS,4526324.0,44333333,-0.32299606604433767,0.9592255676675802,-0.5422000826086272,iBankCoin,3
FRWC,Scrypt,PoW/PoS,100000000.0,100000000,-0.3214295702963212,0.959184952571874,-0.5422625706776215,Frankywillcoin,3
MUDRA,X13,PoS,5000000.0,200000000,-0.2310917183430147,1.5767476853954925,-0.36133016588229483,MudraCoin,3
PIZZA,X11,PoW,1377917.0,25000000,-0.24683240273804163,-0.7991950808353557,0.03452402100221711,PizzaCoin,0
LC,X11,PoS,657000000.0,657000000,-0.34342337682639806,1.0489101116844488,-0.22598235919699944,Lutetium Coin,3
KMD,Equihash,dPoW/PoW,115898131.0,200000000,-0.1298826267998199,-2.3293534497276105,-0.19693723954777625,Komodo,0
GB,X11,PoW/PoS,15563873.0,50000000,-0.40707053543459937,1.3473838767808162,-0.49650895643107174,GoldBlocks,3
CTC,Scrypt,PoW/PoS,43165500.0,90000000,-0.32219744812151563,0.9591921661844157,-0.5422283681247109,CarterCoin,3
KRB,CryptoNight,PoW,7822432.72439746,10000000,0.29004495194579405,-2.243164923609758,0.40291378882864587,Karbo,0
BXT,SHA-256,PoW/PoS,595429.0,21000000,-0.31929537367491473,0.967318835705584,-0.2738240855040937,BitTokens,3
ZYD,SHA-256,PoW,6243840.0,9736000,-0.158716355123927,-1.1792701516113573,0.25719562906012766,ZayedCoin,0
MST,X11,PoW/PoS,657636.34549789,3000000,-0.4075877042695384,1.3474183051821824,-0.4964942398709368,MustangCoin,3
ZNE,Scrypt,PoW/PoS,2581970.0,21000000,-0.32318593383724425,0.9592426711257334,-0.5421959355366248,ZoneCoin,3
COVAL,Multiple,PoW,1000000000.0,1200000000,-0.12006963516734405,-1.7355122062141335,0.395368070953862,Circuits of Value,0
ROOT,Scrypt,PoW/PoS,1939889.0,0,-0.3233432341263455,0.9592580665417736,-0.5421928446204046,RootCoin,3
DOPE,Scrypt,PoW,116845228.0,200000000,-0.15992157412433075,-1.1874855878503408,-0.011263745985981434,DopeCoin,0
BTCR,Scrypt,PoS,169598616.0,0,-0.2698232182839688,0.6612283557635522,-0.2713133294738917,BitCurrency,3
DLC,SHA-256,PoW,9106714.0,10638298,-0.15867483935029325,-1.1792708072043039,0.2571938545962147,DollarCoin,0
SCN,Scrypt,PoW/PoW,665200057.0,3100000000,-0.20510475931040456,0.057861590724678336,-0.19246582933828355,Swiscoin,3
SH,Scrypt,PoW,11119200.0,30000000,-0.16242730988859821,-1.1873611673162294,-0.011180517471961582,Shilling,0
BUZZ,SHA-256D,PoW/PoS,19577787259.0,20000000000,0.040199810005117215,1.9931191809138502,-0.6461640992326911,BuzzCoin,3
XPO,PoS,PoS,74033806.7949683,74000000,-0.327521315866364,1.3887019041072217,-0.14462295498301717,Opair,3
PSB,Scrypt,PoW/PoS,33522957.0,0,-0.3229560645508943,0.9592581322111785,-0.5422111315204053,PesoBit,3
HALLO,X11,PoW/PoS,264678458.288619,1500000000,-0.39369896885708444,1.346321285750692,-0.4968409466692119,Halloween Coin,3
XZC,Lyra2Z,PoW,7568281.24956067,21400000,-0.175149512169871,-2.104142344340625,0.34255801111947837,ZCoin,0
CFC,PoS,PoS,148716816.0,39999898,-0.3268477276730704,1.3887269875405865,-0.14466179472463747,CoffeeCoin,3
ROYAL,X13,PoS,2500124.0,2500124,-0.2325277085905653,1.5768924828848285,-0.36130314553340664,RoyalCoin,3
GNJ,X14,PoW/PoS,100000000.0,100000000,-0.38562478822076834,1.845742136542843,-0.715248890000632,GanjaCoin V2,3
TEAM,PoS,PoS,17818682.1654,301000000,-0.326595186042045,1.388535355673836,-0.14461979854964768,TeamUP,3
LANA,SHA-256D,PoW/PoS,1082162635.53683,7506000000,-0.2754370413673018,2.0022410574264606,-0.6338371928846935,LanaCoin,3
ELE,Ethash,PoW,26205539.0,26205539,-0.1709931226317123,-1.9453536926463109,0.3311516876485898,Elementrem,0
ZCL,Equihash,PoW,5613550.0,21000000,-0.13010585327214536,-2.194927213571,0.23232975095166328,ZClassic,0
ARK,DPoS,DPoS,108202084.0,125000000,3.6465580731025677,2.492991485913083,-0.4602143630447231,ARK,3
INSANE,X11,PoW/PoS,18342813.0,30000000,-0.40717878253857404,1.3473985461314246,-0.4965079758020014,InsaneCoin,3
KLC,Scrypt,PoW,196297971.0,10000000000,-0.08921397057733527,-1.194670573157749,-0.01257868429067871,KiloCoin,0
ATX,X11,PoW,824000000.0,500000000,-0.23336812217983158,-0.7995416302364614,0.03398621043414935,ArtexCoin,0
