,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC1,PC2,PC3,CoinName,Class
TTN,SHA-256D,PoW/PoS,896361168.0,5000000000,-0.2955466193066513,2.004078016727424,-0.6334051273943606,Titan Coin,3
AWR,X11,PoW/PoS,15420234.5389336,420000000,-0.4044394966807821,1.3471126003914593,-0.4965567820108779,Award,3
BLAST,SHA-256,PoW,52293836.6277958,64000000,-0.15776571382976462,-1.1793098410662741,0.257161939398307,BLAST,0
XRC,X13,PoW,1170292.5,2100000,-0.12342165692746936,-0.2716744247190663,-0.10125738834931901,Bitcoin Rhodium,0
GLT,SHA-256,PoW,84613099.9999955,168000000,-0.1566294892508204,-1.1793860244429721,0.2571297599914676,GlobalToken,0
INSN,X11,PoW/PoS,23775960.3207514,30000000,-0.4071121788336541,1.3473985574283496,-0.4965111216465327,Insane Coin,3
ALX,DPoS,DPoS,1000000000.0,1000000000,3.663716634127989,2.492351808897108,-0.4608440203260563,ALAX,3
LDOGE,Scrypt,PoW/PoS,15318887081.0146,35000000000,0.11347231230571096,0.9336286626323483,-0.555593412877516,LiteDoge,3
SLR,Scrypt,PoW,55565076.3863525,98100000000,0.5359517453406567,-1.2592639025084025,-0.023904659905521413,SolarCoin,0
TRK,X11,PoW/PoS,242574105.22384,0,-0.4046434528734913,1.347421007725249,-0.49663392338281387,TruckCoin,3
UFO,NeoScrypt,PoW,3824685012.0,4000000000,-0.10724808167273887,-1.5894828083565737,0.3023552288788026,UFO Coin,0
OC,Scrypt,PoW/PoS,3537150.0,200000000,-0.3219005187600074,0.9591114341381942,-0.5422196660703416,OrangeCoin,3
BLC,Blake,PoW,23356790.1494191,7000000000,-0.09144602487073453,-2.2285758204060246,0.3599857408751804,BlakeCoin,0
BITS,Scrypt,PoW/PoS,20576532.0,54256119,-0.3227287029156299,0.9592183258655522,-0.5422106606664753,BitstarCoin,3
NEOS,SHA-256,PoS,4392258.24647793,21000000,-0.26778410319527074,0.6692887842159005,-0.002849692743468411,NeosCoin,3
HYPER,Scrypt,PoW/PoS,9631199.99309942,0,-0.3232489481117042,0.9592580825340076,-0.5421972979634112,HyperCoin,3
PINK,X11,PoW/PoS,436353624.490312,500000000,-0.39871011698456893,1.3470548213314704,-0.4968108651385569,PinkCoin,3
CESC,Scrypt,PoW,780210700.0,1000000000,-0.14609698954663605,-1.188070751439959,-0.011751427453492256,Crypto Escudo,0
ADC,Scrypt,PoW/PoS,980732528.97974,10500000000,-0.2366298571884426,0.9515617261592408,-0.5441191475430232,AudioCoin,3
NKA,SHA-256,PoW/PoS,17939725045.334,190000000,-0.09818115562788027,0.9672322286299013,-0.28423289665699847,IncaKoin,3
PIGGY,X11,PoW/PoS,494240666.028571,1000000000,-0.39444265576333387,1.3466883523819206,-0.4969091238432707,Piggy Coin,3
CRW,SHA-256,PoW,22986929.0854247,42000000,-0.15828152531721024,-1.1792937720732326,0.2571817570077717,Crown Coin,0
GEN,Scrypt,PoW/PoS,60000000.0,15000000,-0.32252475344467907,0.9592471895844781,-0.5422284042293788,Genstake,3
SMLY,Scrypt,PoW,29583989322.9213,50000000000,0.5556699689913848,-1.2239366134514942,-0.034773764199341674,SmileyCoin,0
MI,Scrypt,PoW/PoS,404316475.545465,400000000,-0.315564322163225,0.9589656317378488,-0.5424776177732528,XiaoMiCoin,3
GRS,Groestl,PoW,73298203.8873662,105000000,-0.21913060187443265,-1.2097906963611704,-0.0525018415139815,Groestlcoin,0
CPC,X11,PoW/PoS,201364327.427503,208000000,-0.4036685737658359,1.3472684208857255,-0.4966369950105739,CapriCoin,3
CLUB,Scrypt,PoW/PoS,103621876.167052,160000000,-0.3209582300751979,0.9591409693852856,-0.5422724367648805, ClubCoin,3
RADS,PoS,PoS,3821245.74150193,9000000,-0.32884455436927856,1.3887494147275912,-0.14457388483351613,Radium,3
BTA,Scrypt,PoW,5052555.91981545,5000000,-0.1626795713485994,-1.187342850464771,-0.011173767749158757,Bata,0
PAK,Scrypt,PoW,69684455.4387001,182000000,-0.16062778934349803,-1.187472488694618,-0.01123410874943882,Pakcoin,0
CRB,X11,Proof of Trust,16901016.6609755,16504333,-0.43959945232805775,1.052851630174087,-0.24113156902581567,Creditbit ,3
OK,SHA-256,PoW/PoS,74676064.9488608,105000000,-0.317789519513907,0.9672574027341007,-0.27387785548508853,OKCash,3
LSK,DPoS,DPoS,120012140.0,159918400,3.6469513178364252,2.492965909044811,-0.460225722523445,Lisk,3
XHI,Scrypt,PoS,10000244677.7002,10008835635,-0.07809196944197914,0.6539105318973496,-0.27830134314070126,HiCoin,3
XWC,Scrypt,PoW/PoS,252005564.19257,300000000,-0.3181430340924564,0.9590386329062383,-0.5423764799810822,WhiteCoin,3
FSC,NeoScrypt,PoW/PoS,1120385.00502,60168145,-0.34274477030919653,0.5599950995408128,-0.22594227534335373,FriendshipCoin,3
J,Multiple,PoW,3332922.5,2800000,-0.140806433494456,-1.734636517095902,0.39610016794344594,JoinCoin,0
TRI,X13,PoW/PoS,140777.753365,120000,-0.2840382934841086,1.8749242824194503,-0.6322780624246688,Triangles Coin,3
VOLLAR,Equihash+Scrypt,PoW,100000000.0,2100000000,-0.15855993399832033,-2.0324320002801457,0.401463142236965,Vollar,0
EOS,DPoS,DPoS,1020544523.0722,0,3.6568528101636253,2.4930850302380096,-0.46072643270010927,EOS,3
RCC,Ethash,PoW,24487944.0958204,24487944,-0.1710264000801167,-1.9453524369136987,0.331152904552081,Reality Clash,0
OXY,DPoS,DPoS,1122382283.37,0,3.658101215873274,2.4930852419851743,-0.4607853977423565,Oxycoin,3
TCH,SHA-256,PoS,1000000000.0,1000000000,-0.24861293120925454,0.6685730724706825,-0.0035529231545458105,TigerCash,3
WAVES,Leased POS,LPoS,100000000.0,100000000,-0.3995321109740681,3.097606564605177,14.035133233957064,Waves,1
PART,PoS,PoS,9283137.5558676,8634140,-0.32878020163290667,1.3887496943250142,-0.14457699994869772,Particl,3
BTT,TRC10,DPoS,989988713439.649,990000000000,34.133279855959145,0.9573918042284574,-1.9734079476704298,BitTorrent,2
NXT,PoS,PoS/LPoS,1000000000.0,1000000000,-0.30576217773189746,1.4646255021301564,-0.04900655599945819,Nxt,3
ZEPH,SHA-256,DPoS,1999999995.3056,2000000000,2.429265208045643,1.2053416317921488,-0.19950088389915613,ZEPHYR,3
GAP,Scrypt,PoW/PoS,14931046.1546605,250000000,-0.3214050598767522,0.9590747988978898,-0.5422327374008679,Gapcoin,3
BDX,CryptoNight,PoW,980222595.0,1400222610,0.31185775380787295,-2.2441821832367164,0.40217074944991144,Beldex,0
ZEN,Equihash,PoW,7296537.5,21000000,-0.13008522191499333,-2.1949272100716315,0.23232877648572098,Horizen,0
XBC,Scrypt,PoS,128326.99633965,1000000,-0.27189359995214213,0.6612272702121634,-0.2712153340304305,BitcoinPlus,3
